location_id,name,latitude,longitude,location_type
1,The Living Room Restaurant,5.6344223,-0.1537452,RESTAURANT
2,PeterPan East Legon,5.6327205,-0.1565220,RESTAURANT
3,Starbites Food & Drink,5.6337653,-0.1491498,RESTAURANT
4,Papa's Pizza East Legon,5.6436328,-0.1581806,RESTAURANT
5,DNR Turkish Cafe & Restaurant,5.6337727,-0.1722522,RESTAURANT
6,Casa Bellini Restaurant,5.6593202,-0.1632720,RESTAURANT
7,Boundary Road (East Legon Junction),5.6340767,-0.1478123,ROAD
8,Boundary Road (South),5.6291319,-0.1650027,ROAD
9,Lagos Avenue (Main),5.6386719,-0.1707773,ROAD
10,Lagos Avenue (North),5.6406138,-0.1621485,ROAD
11,Lagos Avenue (Shiashie),5.6348256,-0.1722047,ROAD
12,Customer A Residence (Flower Street),5.6325000,-0.1550000,CUSTOMER
13,Customer B Residence (Sunflower Road),5.6342000,-0.1585000,CUSTOMER
14,Customer C Residence (A&C Area),5.6360000,-0.1600000,CUSTOMER
15,Customer D Residence (Jungle Road),5.6355000,-0.1520000,CUSTOMER
16,Customer E Residence (Lagos Avenue),5.6390000,-0.1680000,CUSTOMER
17,Customer F Residence (Boundary Road),5.6310000,-0.1580000,CUSTOMER
18,Customer G Residence (East Legon Hills),5.6375000,-0.1550000,CUSTOMER
19,Customer H Residence (Trinity Avenue),5.6358000,-0.1650000,CUSTOMER
