road_id,from_location_id,to_location_id,distance_km,travel_time_minutes,is_bidirectional
1,1,7,0.35,2,1
2,2,7,0.45,3,1
3,3,7,0.25,2,1
4,1,2,0.2,1,1
5,2,12,0.15,1,1
6,1,12,0.25,2,1
7,3,15,0.15,1,1
8,15,7,0.3,2,1
9,13,2,0.2,1,1
10,13,1,0.15,1,1
11,17,8,0.25,2,1
12,8,7,0.7,4,1
13,5,11,0.1,1,1
14,11,9,0.45,3,1
15,11,6,0.15,1,1
16,9,6,0.3,2,1
17,10,9,0.35,2,1
18,10,14,0.25,2,1
19,14,9,0.3,2,1
20,4,9,0.6,3,1
21,4,16,0.25,2,1
22,16,9,0.2,1,1
23,18,14,0.15,1,1
24,18,1,0.35,2,1
25,19,18,0.1,1,1
26,19,5,0.45,3,1
27,15,13,0.25,2,1
28,14,19,0.1,1,1
29,10,18,0.3,2,1
30,10,6,0.35,2,1
31,6,5,1.2,6,1
32,6,4,0.6,3,1
33,1,3,0.35,2,1
34,2,3,0.4,2,1
35,5,19,0.45,3,1
36,7,12,0.2,1,1
